index	date	dev_em	test_em	sota	description
0	2018-05-30 19:24:15	59.79954518655774	59.17400135409614	1	BiDAF-No-Answer (single model) (University of Washington [modified by Stanford])
1	2018-05-30 19:24:23	61.787248378674306	59.331979237192506	1	BiDAF + Self Attention (single model) (Allen Institute for Artificial Intelligence [modified by Stanford])
2	2018-05-30 19:24:29	64.81091552261434	63.37169939065674	1	BiDAF + Self Attention + ELMo (single model) (Allen Institute for Artificial Intelligence [modified by Stanford])
3	2018-06-24 22:37:41	68.99688368567338	68.21259309410968	1	KACTEIL-MRC(GFN-Net) (single model) (Kangwon National University, Natural Language Processing Lab.)
4	2018-06-25 20:10:40	65.92268171481513	65.71879936808847	0	KakaoNet2 (single model) (Kakao NLP Team)
5	2018-06-27 04:46:33	65.21519413796008	63.33784698713609	0	BSAE AddText (single model) (reciTAL.ai)
6	2018-07-11 05:39:04	65.72054240714226	65.25614985330625	0	abcNet (single model) (Fudan University & Liulishuo AI Lab)
7	2018-07-13 09:49:15	68.90423650298997	67.89663732791695	0	VS^3-NET (single model) (Kangwon National University in South Korea)
8	2018-08-14 02:45:09	65.89741430135602	63.3265628526292	0	eeAttNet (single model) (BBD NLP Team) https://www.bbdservice.com
9	2018-08-15 19:00:51	72.32375979112271	71.76709546377793	1	Reinforced Mnemonic Reader + Answer Verifier (single model) (NUDT) https://arxiv.org/abs/1808.05759
10	2018-08-21 12:47:50	72.05424071422556	70.3001579778831	0	FusionNet++ (ensemble) (Microsoft Business Applications Group AI Research)  https://arxiv.org/abs/1711.07341
11	2018-08-21 14:55:57	69.36747241640697	68.65267433987813	0	SAN (single model) (Microsoft Business Applications AI Research) https://arxiv.org/abs/1712.03556
12	2018-08-28 08:44:17	72.15531036806199	71.46242383209209	0	SLQA+ (single model) (Alibaba DAMO NLP) http://www.aclweb.org/anthology/P18-1158
13	2018-09-13 09:46:50	75.82750779078582	74.27217332430602	1	nlnet (single model) (Microsoft Research Asia)
14	2018-09-13 14:55:50	66.63016929167017	65.65109456104717	0	BiDAF++ (single model) (UW and FAIR)
15	2018-09-13 15:42:56	69.14848816642802	68.02076280749266	0	BiDAF++ with pair2vec (single model) (UW and FAIR)
16	2018-09-14 03:05:50	70.36132401246526	69.26201760324983	0	Unet (single model) (Fudan University & Liulishuo Lab)
17	2018-09-14 11:36:06	72.32375979112271	71.3157300835026	0	SAN (ensemble model) (Microsoft Business Applications AI Research) https://arxiv.org/abs/1712.03556
18	2018-09-17 03:37:37	71.98686094500127	71.41728729406455	0	Unet (ensemble) (Fudan University & Liulishuo Lab) https://arxiv.org/abs/1810.06638
19	2018-09-26 20:55:24	69.38431735871305	69.47641615888061	0	Multi-Level Attention Fusion(MLAF) (single model) (Chonbuk National University, Cognitive Computing Lab.)
20	2018-10-12 10:23:21	72.2732249642045	72.66982622432859	0	YARCS (ensemble) (IBM Research AI)
21	2018-11-05 03:52:37	74.00825402172998	74.79124351162265	1	MIR-MRC(F-Net) (single model) (Kangwon National University, Natural Language Processing Lab. & ForceWin, KP Lab.)
22	2018-11-06 21:30:53	76.98138633875179	77.00293387497179	1	SLQA+BERT (single model) (Alibaba DAMO NLP) http://www.aclweb.org/anthology/P18-1158
23	2018-11-08 22:36:31	78.74168280973637	80.00451365380275	1	BERT (single model) (Google AI Language)
24	2018-11-09 19:28:32	78.34582666554367	79.18077183480027	0	L6Net + BERT (single model) (Layer 6 AI)
25	2018-11-14 18:16:17	72.21426766613324	71.66553825321598	0	BERT+Answer Verifier (single model) (Pingan Tech Olatop Lab)
26	2018-11-16 06:55:15	80.75465341531205	81.17806364251862	1	AoA + DA + BERT (single model) (Joint Laboratory of HIT and iFLYTEK Research)
27	2018-11-16 13:41:40	82.24543080939948	82.37418190024825	1	AoA + DA + BERT (ensemble) (Joint Laboratory of HIT and iFLYTEK Research)
28	2018-11-27 05:15:53	59.47106881158932	57.70706386820131	0	Tree-LSTM + BiDAF + ELMo (single model) (Carnegie Mellon University)
29	2018-12-03 00:41:01	79.33967826160196	80.11735499887159	0	PwP+BERT (single model) (AITRICS)
30	2018-12-06 20:40:46	78.19422218478901	79.77883096366509	0	NEXYS_BASE (single model) (NEXYS, DGIST R7)
31	2018-12-10 22:06:55	81.24315674218816	82.12593094109681	0	Candi-Net+BERT (ensemble) (42Maru NLP Team)
32	2018-12-12 04:13:58	81.36107133833066	82.12593094109681	0	BERT finetune baseline (single model) (Anonymous)
33	2018-12-13 00:37:43	82.32965552092985	83.53644775445723	1	BERT finetune baseline (ensemble) (Anonymous)
34	2018-12-14 05:47:22	77.08245599258822	78.05235838411194	0	BERT+AC(single model)(Hithink RoyalFlush)
35	2018-12-15 18:58:30	81.50425334793228	82.99480929812684	0	Lunet + Verifier + BERT (single model) (Layer 6 AI NLP Team)
36	2018-12-16 09:11:33	83.10452286700918	83.46874294741593	0	Lunet + Verifier + BERT (ensemble) (Layer 6 AI NLP Team)
37	2018-12-16 19:19:12	81.95906679019625	82.57729632137215	0	PAML+BERT (single model) (PINGAN GammaLab)
38	2018-12-19 06:44:11	79.99663101153878	80.65899345520198	0	Candi-Net+BERT (single model) (42Maru NLP Team)
39	2018-12-20 00:27:36	69.66225890676324	68.76551568494696	0	DocQA + NeurQuRI (single model) (2SAH)
40	2018-12-21 07:22:42	82.67497683820433	83.45745881290905	0	PAML+BERT (ensemble model) (PINGAN GammaLab)
